0,1
2,"wazzat?..hail To chief wrote, respon oh_really_now: aw, syphedleds-riddl cfant rile up. boo ffackedng hoo. pathet lame comment shove deep dry, elderli sne1tch choke it, grandma.it' pedg-ffack moron liber like vote disast WH cost trillion threw countri toilet. huge favor go fuckoffanddi agony. it'll first time miser exist actual someth worthwhile. In meantime, sfa\u0107k glisten conservatism, bedt\u0107h."
3,"make dumb comment, deserv dumb answer."
4,"anyway i'm out, I hope peopl enjoy hide behind user names. noth show intellig like unabl stand words. peopl pathetic."
5,what make incel?
6,I dont social anxieti feel stressful strangers. Im good peopl know though
7,"surviv fittest case ugliest, ugli stay activ"
8,"yeah, i'v never shorter either dwarf sort muscl disease. even major famili member height-mog me.i'v quit woman either height shorter course, tend one prefer tall (base coupl i'v seen least)."
9,"yes, 5'7 dont see male."
10,thi forum great cope.
11,"welcom hell friend, cookies."
12,"never girl, never parti friends, never enjoy anyth I did.now wast prime year life rot online. I alway imagin i'd someth much wors"
13,i'm way friend mani mani year extend bullying. I would rather normal I could friend
14,wannab tough manlet here. after check forum I decid join around interact like-mind people.
15,I forum sinc first day creation first time click thread.
16,hello registerusernam i'm incel.
17,I cultur despis fat landwhal ugli roastie.
18,gun head aoba volcel hyuga incel maya chad
19,A 26-yo nurs home employe commit ƒ??grave sexual actƒ?? old woman dementia.a professor psychiatri psycholog explain ƒ??sexual expect young highƒ?? ƒ??reject play roleƒ??.stop explain male violenc incel theory.
20,look like could get 10 year jail
21,"the fact case got public could go either way. judg might feel pressur lock warning, might fear backlash men. If foid judg good job dont death penalti UK"
22,He look friend caus lonely. I much love lone people.
23,the case heard magistrates' court. there three judges.
24,He might avoid prison life ruined.
25,the maximum penalti magistrates' court impos offenc six months. If impos 10-year sentenc would move case crown court front differ judge.
26,"In uk, crimin case start either magistrates' court crown court. seriou case like rape, murder, organ crime go straight crown court automatically. minor case drive offences, common assault, petti theft heard magistrates' court."
27,"sexual assault ""either way"" offence; tri either court. that magistr send case crown court trial mean griffiths' case particularli serious."
28,"He touch arm waist, clothed, sensit parts. the age differ 2 years; he' posit respons her. he' young, social awkward, volunteers, student decent university. He prior crimin record."
29,"UK prison overcrowded, american prison are, stop american judg give stupidli long sentenc nonviol crimes."
30,"I surpris walk away fine, commun servic order, and/or mental health treatment order. mayb suspend sentence."
31,"lol act like watch basketb forever, 8 year moron"
32,thi world beyond saving.
33,"hi life alreadi ruined. jfl autist enough googl ""how make friend""."
34,"the fact prison overcrowd there' crimewav knife crime like UK mean avoid jail, never gone court."
35,"""sensit gender"" women total replac"
36,"some peopl argu heƒ?? 19 old enough understand autism isnƒ??t excus etc etc etc, thing happen week ago autist boy five year old. five."
37,autist boy (and male sex general) attack.
38,societi want jail long touch woman. now excuse.
39,"same woman say this, demand take charg show initiative, touch even kiss her."
40,imagin world life could potenti ruin - chad touch woman arm.
41,I think would breast I moved. when first happen I think much it. I forgot I exam thought weird behaviour.'
